Epoch 275 | Train Loss: 24.1105 | Val Loss: 440.9966 | Val MAE: 14.9196
Epoch 276 | Train Loss: 23.6680 | Val Loss: 450.2738 | Val MAE: 15.0554
Epoch 277 | Train Loss: 22.6604 | Val Loss: 444.3357 | Val MAE: 15.0840
Epoch 278 | Train Loss: 21.8316 | Val Loss: 467.9526 | Val MAE: 15.6785
Epoch 279 | Train Loss: 24.2247 | Val Loss: 461.2829 | Val MAE: 16.2554
Epoch 280 | Train Loss: 22.8098 | Val Loss: 459.7279 | Val MAE: 15.4100
Epoch 281 | Train Loss: 23.6092 | Val Loss: 442.7715 | Val MAE: 15.1275
Epoch 282 | Train Loss: 26.3037 | Val Loss: 495.0269 | Val MAE: 16.6559
Epoch 283 | Train Loss: 26.1305 | Val Loss: 421.7346 | Val MAE: 14.9879
Epoch 284 | Train Loss: 25.1193 | Val Loss: 475.5204 | Val MAE: 15.8819
Epoch 285 | Train Loss: 24.6376 | Val Loss: 449.1476 | Val MAE: 15.2212
Epoch 286 | Train Loss: 23.7232 | Val Loss: 505.3444 | Val MAE: 16.6910
Epoch 287 | Train Loss: 25.4455 | Val Loss: 428.5378 | Val MAE: 15.3668
Epoch 288 | Train Loss: 26.2506 | Val Loss: 460.0570 | Val MAE: 15.9497
Epoch 289 | Train Loss: 25.2880 | Val Loss: 408.8247 | Val MAE: 14.8902
Epoch 290 | Train Loss: 25.5821 | Val Loss: 446.5520 | Val MAE: 15.3767
Epoch 291 | Train Loss: 25.8154 | Val Loss: 449.8769 | Val MAE: 15.7139
Epoch 292 | Train Loss: 24.3344 | Val Loss: 458.6539 | Val MAE: 15.4799
Epoch 293 | Train Loss: 22.9766 | Val Loss: 439.4830 | Val MAE: 15.3828
Epoch 294 | Train Loss: 22.9483 | Val Loss: 459.1804 | Val MAE: 15.7258
Epoch 295 | Train Loss: 22.2590 | Val Loss: 449.8781 | Val MAE: 15.6170
Epoch 296 | Train Loss: 21.5701 | Val Loss: 447.4993 | Val MAE: 15.4398
Epoch 297 | Train Loss: 21.9473 | Val Loss: 442.7305 | Val MAE: 14.9222
Epoch 298 | Train Loss: 22.6702 | Val Loss: 456.3783 | Val MAE: 15.5258
Epoch 299 | Train Loss: 21.2636 | Val Loss: 471.5287 | Val MAE: 15.8054
Epoch 300 | Train Loss: 22.0898 | Val Loss: 460.6845 | Val MAE: 15.7362
